TRIPID,HHID,PERSID,STARTSTOP,ENDSTOP,STARTIME,ORIGPLACE,ORIGPURP,ORIGSA1_2021,DESTPLACE,DESTPURP,DESTSA1_2021,MAINMODE,MODE1,MODE2,MODE3,MODE4,MODE5,MODE6,MODE7,MODE8,ARRTIME,DURATION,TRAVTIME,CUMDIST,OVERALL_PURPOSE
906701000001,90670,90670/1000,1,1,330,My home,At Home,31802147101,Shop or supermarket,Shopping,31802147510,Car passenger,Car passenger,,,,,,,,360,45,30,9.56,Shopping
906701000002,90670,90670/1000,2,2,405,Shop or supermarket,Shopping,31802147510,Shop or supermarket,Recreation/leisure activity,31802148710,Car passenger,Car passenger,,,,,,,,435,105,30,9.45,Recreation
906701000003,90670,90670/1000,3,3,540,Shop or supermarket,Recreation/leisure activity,31802148710,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,570,,30,13.26,Recreation
906721000001,90672,90672/1000,1,1,255,Someone else's home,At Home,31802148101,Someone else's home,Social Visit,31802148206,Walking,Walking,,,,,,,,270,360,15,1.71,Social
906721000002,90672,90672/1000,2,2,630,Someone else's home,Social Visit,31802148206,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,660,,30,5.92,Social
906731000001,90673,90673/1000,1,1,135,My workplace,Work (my workplace),31802149116,My home,Go home,31802147101,Car driver,Car driver,,,,,,,,165,30,30,19.48,Direct Work Commute
906731000002,90673,90673/1000,2,2,195,My home,Go home,31802147101,"Restaurant, caf̩, or food outlet",Eat/drink,31802148007,Car passenger,Car passenger,,,,,,,,205,15,10,4.31,Shopping
906731000003,90673,90673/1000,3,3,220,"Restaurant, caf̩, or food outlet",Eat/drink,31802148007,My home,Go home,31802147101,Car passenger,Car passenger,,,,,,,,230,550,10,4.27,Shopping
906731000004,90673,90673/1000,4,4,780,My home,Go home,31802147101,My workplace,Work (my workplace),31802149116,Car driver,Car driver,,,,,,,,810,,30,19.5,Direct Work Commute
906731001001,90673,90673/1001,1,1,195,My home,At Home,31802147101,"Restaurant, caf̩, or food outlet",Eat/drink,31802148007,Car driver,Car driver,,,,,,,,205,15,10,4.31,Shopping
