HHID,HHSIZE,BIKES,HHVEH,EBIKES,ESCOOTER,DWELLTYPE,SURVEYWEEK,STRATA_LGA,TRAVDATE,TRAVMONTH,TRAVYEAR,TRAVDOW,HOME_SA1_2021,HHWGT_20
91069,1,1,1,0,0,Separate house,3,11,27,10,2020,2,31802147813,23.17869001
91070,3,0,1,0,0,"Unit, flat, or apartment (less than 4 storeys)",3,11,28,10,2020,3,31802147813,30.44441848
91080,1,0,1,0,0,"Unit, flat, or apartment (less than 4 storeys)",3,11,28,10,2020,3,31802147813,23.17869001
91084,3,10,2,0,0,Separate house,3,11,27,10,2020,2,31802147813,30.44441848
91089,1,1,1,0,0,Separate house,3,11,27,10,2020,2,31802147813,23.17869001
91090,2,0,2,0,0,,3,11,28,10,2020,3,31802147912,25.29879984
91094,3,0,2,0,0,,3,11,27,10,2020,2,31802147912,30.44441848
91101,3,3,2,1,0,,3,11,29,10,2020,4,31802147912,30.44441848
91104,3,0,1,0,0,,3,11,27,10,2020,2,31802147912,30.44441848
91106,1,3,2,0,0,,3,11,29,10,2020,4,31802147912,23.17869001
91107,2,0,1,0,0,,3,11,30,10,2020,5,31802147912,25.29879984
91109,1,1,1,0,0,,3,11,27,10,2020,2,31802147912,23.17869001
91110,3,0,2,0,0,,3,11,28,10,2020,3,31802147912,30.44441848
91121,4,7,2,0,0,Separate house,3,11,29,10,2020,4,31802148623,38.1196772
91125,2,0,1,0,0,Separate house,3,11,28,10,2020,3,31802148623,25.29879984
91127,5,3,2,0,0,Separate house,3,11,30,10,2020,5,31802148623,51.10563103
91133,5,0,2,0,0,Separate house,3,11,26,10,2020,1,31802148623,51.10563103
91136,2,1,1,0,0,Separate house,3,11,29,10,2020,4,31802148623,25.29879984
91138,4,4,2,0,0,Separate house,3,11,26,10,2020,1,31802148623,38.1196772
91139,2,0,3,0,0,Separate house,3,11,27,10,2020,2,31802148623,25.29879984
91144,2,0,3,0,0,Separate house,3,11,27,10,2020,2,31802148623,25.29879984
91145,4,4,3,0,0,Separate house,3,11,28,10,2020,3,31802148623,38.1196772
91146,4,5,2,0,0,Separate house,3,11,29,10,2020,4,31802148623,38.1196772
91147,2,0,1,0,0,Separate house,3,11,30,10,2020,5,31802148623,25.29879984
91154,2,0,1,0,0,Separate house,3,11,27,10,2020,2,31802149002,25.29879984
91161,4,3,2,0,0,Separate house,3,11,29,10,2020,4,31802149002,38.1196772
91164,1,0,2,0,0,Separate house,3,11,27,10,2020,2,31802149002,23.17869001
91168,3,3,3,0,0,Separate house,3,11,26,10,2020,1,31802149002,30.44441848
